Date,Session source - GA4,Session medium - GA4,Session campaign - GA4,Event name - GA4,Traffic source,Paid / Organic,"Sessions - GA4, event based",Event count - GA4,Event value - GA4 (USD),Week of
2024-05-31,tagassistant.google.com,referral,(referral),first_visit,Google,Organic,,1,0,5/27/24
2024-05-31,tagassistant.google.com,referral,(referral),page_view,Google,Organic,,1,0,5/27/24
2024-05-31,tagassistant.google.com,referral,(referral),session_start,Google,Organic,1,1,0,5/27/24
2024-05-31,tagassistant.google.com,referral,(referral),user_engagement,Google,Organic,,1,0,5/27/24
2024-06-03,tagassistant.google.com,referral,(referral),click,Google,Organic,,3,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),click_to_call_website,Google,Organic,,2,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),form_start,Google,Organic,,3,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),form_submission,Google,Organic,,2,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),page_view,Google,Organic,,7,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),scroll,Google,Organic,,1,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),session_start,Google,Organic,1,1,0,6/3/24
2024-06-03,tagassistant.google.com,referral,(referral),user_engagement,Google,Organic,,5,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,click,Google,Paid,,1,0,6/3/24
2024-06-04,(direct),(none),(direct),first_visit,Direct,Organic,,1,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,5,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,4,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,4,0,6/3/24
2024-06-04,(direct),(none),(direct),page_view,Direct,Organic,,1,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,8,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,3,0,6/3/24
2024-06-04,(direct),(none),(direct),session_start,Direct,Organic,1,1,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,5,5,0,6/3/24
2024-06-04,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,4,0,6/3/24
2024-06-05,google,organic,(organic),click_to_call_website,Google,Organic,,1,0,6/3/24
2024-06-05,google,organic,(organic),first_visit,Google,Organic,,1,0,6/3/24
2024-06-05,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,1,0,6/3/24
2024-06-05,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,1,0,6/3/24
2024-06-05,google,organic,(organic),session_start,Google,Organic,1,1,0,6/3/24
2024-06-05,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,1,1,0,6/3/24
2024-06-06,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,1,0,6/3/24
